FID,FID_1,CODE_MECAN,RESEAU,COMMUNE,PROVINCE,NOM_REGION,ADRESSE,XX,XY,OBJECTID,ID,NAME,TOTPOP_CY
892,894,34034,JEMAA MOUL LEBLAD,JEMAAT MOUL BLAD,KHEMISSET,RABAT,commune JEMAAT MOUL BLAD  15173 KHEMISSET,-6.423000000000000,33.591000000000001,42,2001,Khémisset,581556
893,906,38631,KHEMIS SIDI YAHIA,KHEMIS SIDI YAHYA,KHEMISSET,RABAT,commune KHEMIS SIDI YAHYA  15423 KHEMISSET,-6.267000000000000,33.796999999999997,42,2001,Khémisset,581556
894,933,34500,HAD RHOUALEM,LAGHOUALEM,KHEMISSET,RABAT,commune LAGHOUALEM  15172 KHEMISSET,-6.695000000000000,33.357999999999997,42,2001,Khémisset,581556
895,965,30035,MAJMAA TOLBA,MAJMAA TOLBA,KHEMISSET,RABAT,commune MAJMAA TOLBA 15032 KHEMISSET,-6.056000000000000,33.795000000000002,42,2001,Khémisset,581556
896,968,34032,MARCHOUCH,MARCHOUCH,KHEMISSET,RABAT,commune MARCHOUCH  15174 KHEMISSET,-6.695000000000000,33.561000000000000,42,2001,Khémisset,581556
897,1118,38131,TARMILET,OULMES,KHEMISSET,RABAT,commune OULMES  15123 KHEMISSET,-6.067000000000000,33.405999999999999,42,2001,Khémisset,581556
898,1169,38630,MKAM TOLBA,SIDI ABDERRAZAK,KHEMISSET,RABAT,commune SIDI ABDERRAZAK  15424 KHEMISSET,-6.310000000000000,33.956000000000003,42,2001,Khémisset,581556
899,1191,38531,SIDI BOUKHALKHAL,SIDI BOUKHALKHAL,KHEMISSET,RABAT,commune SIDI BOUKHALKHAL  15273 KHEMISSET,-6.396000000000000,34.058000000000000,42,2001,Khémisset,581556
900,1203,30036,SIDI EL RHANDOUR,SIDI EL GHANDOUR,KHEMISSET,RABAT,commune SIDI EL GHANDOUR 15033 KHEMISSET,-6.067000000000000,33.844999999999999,42,2001,Khémisset,581556
901,1407,38600,TIFLET PPAL,TIFLET,KHEMISSET,RABAT,Hay Andalous 15403 TIFLET,-6.321000000000000,33.886000000000003,42,2001,Khémisset,581556
902,1410,30061,KHEMISSET ESSAADA,KHEMISSET,KHEMISSET,RABAT,Hay Essaada Qartier Essaada 15034 KHEMISSET,-6.069000000000000,33.838999999999999,42,2001,Khémisset,581556
903,1516,34000,ROMMANI,ROMMANI,KHEMISSET,RABAT,Place Bir Anzarane 15155 ROMMANI,-6.605000000000000,33.533999999999999,42,2001,Khémisset,581556
904,1585,38300,MAAZIZ,MAAZIZ,KHEMISSET,RABAT,Quertier Administratif maaziz 15053 KHEMISSET,-6.323000000000000,33.670000000000002,42,2001,Khémisset,581556
905,1619,38100,OULMES,OULMES,KHEMISSET,RABAT,Route Khenifra Quartier Administratif oulmes 15102 KHEMISSET,-5.998000000000000,33.423999999999999,42,2001,Khémisset,581556
906,1624,30200,SFASSIF,SFASSIF,KHEMISSET,RABAT,Route principale Rabat Mekn? sfassif 15004 KHEMISSET,-5.824000000000000,33.875000000000000,42,2001,Khémisset,581556
907,1628,30300,KHEMIS AIT YADDINE,AIT YADINE,KHEMISSET,RABAT,Route Sidi Slimane ait yadine 15003 KHEMISSET,-6.019000000000000,33.970999999999997,42,2001,Khémisset,581556
908,1674,30062,KHEMISSET SIDI GHRIB,KHEMISSET,KHEMISSET,RABAT,N° 9 Rue Khaled Ben El Oualid Rue Ait Abbou Lot Zimmerman Sidi Ghrib 15036 KHEMISSET,-6.061000000000000,33.825000000000003,42,2001,Khémisset,581556
909,1707,37900,SEBT AIT IKKOU,AIT IKKOU,KHEMISSET,RABAT,Sebt Ait Ikkou Centre 15052 KHEMISSET,-6.124000000000000,33.667000000000002,42,2001,Khémisset,581556
910,1713,38400,SIDI ABDERRAZAK,SIDI ABDERRAZAK,KHEMISSET,RABAT,Sidi Abderrazak Centre   15202 KHEMISSET,-6.165000000000000,33.963000000000001,42,2001,Khémisset,581556
911,1715,30400,SIDI ALLAL LEMSEDDER,SIDI ALLAL LAMSADDER,KHEMISSET,RABAT,Sidi Allal Lemsedder Centre 15005 KHEMISSET,-6.147000000000000,33.866999999999997,42,2001,Khémisset,581556
912,1716,34100,SIDI BETTACHE,SIDI BETTACHE,BENSLIMANE,SETTAT,Sidi bettache Centre   13162 BENSLIMANE,-6.883000000000000,33.567000000000000,42,2001,Khémisset,581556
913,1733,38200,TIDDAS,TIDASS,KHEMISSET,RABAT,Tiddas Centre 15352 KHEMISSET,-6.263000000000000,33.572000000000003,42,2001,Khémisset,581556
914,1745,34200,ZHILIGA,EZZHILIGA,KHEMISSET,RABAT,Zhiliga Centre 15154 KHEMISSET,-6.543000000000000,33.298000000000002,42,2001,Khémisset,581556
915,56,13800,RABAT EL KAMRA,YACOUB EL MANSOUR,RABAT,RABAT,ang Avenue Kifah et Avenue SALAM KAMRA 10016 RABAT,-6.873000000000000,33.991000000000000,43,2002,Rabat,669920
916,61,9200,RABAT OCEAN,HASSAN,RABAT,RABAT,Angle Avenue de la Résistance et Rue Togo Quartier Océan 10115 RABAT,-6.845000000000000,34.024000000000001,43,2002,Rabat,669920
917,74,1800,RABAT TOUR HASSAN,HASSAN,RABAT,RABAT,Angle Bd Moulay Ismail et Avenue Al Mourabitine Hassan 10005 RABAT,-6.827000000000000,34.021000000000001,43,2002,Rabat,669920
918,75,1400,RABAT AGDAL,AGDAL RIYAD,RABAT,RABAT,Angle bd Omar Ibn El Khattab et Bd Dadés Agdal 10106 RABAT,-6.845000000000000,34.000999999999998,43,2002,Rabat,669920
919,77,1900,RABAT AKKARI,HASSAN,RABAT,RABAT,Angle Bd Sidi Mohamed Ben Abdellah et Rue Ben Othmane El Meknassi Akkari 10052 RABAT,-6.859000000000000,34.011000000000003,43,2002,Rabat,669920
920,132,1078,RABAT AL MANAL,YACOUB EL MANSOUR,RABAT,RABAT,Avenu massira quartier el menzeh  10044 RABAT,-6.892000000000000,33.972999999999999,43,2002,Rabat,669920
921,139,10700,RABAT HAY EL AMAL,YACOUB EL MANSOUR,RABAT,RABAT,Avenue Al Massira Amal II CYM 10152 RABAT,-6.880000000000000,33.982999999999997,43,2002,Rabat,669920
922,148,8900,RABAT NATIONS UNIES,AGDAL RIYAD,RABAT,RABAT,Angle avenue Dades et Avenue Omar ibn al khatab  Agdal 10102 RABAT,-6.846000000000000,33.994000000000000,43,2002,Rabat,669920
923,150,6100,RABAT SOUISSI,EL YOUSSOUFIA,RABAT,RABAT,Avenue El Haouz Takadoum 10105 RABAT,-6.826000000000000,33.984000000000002,43,2002,Rabat,669920
924,153,9100,RABAT ENNAHDA,EL YOUSSOUFIA,RABAT,RABAT,Avenue Ennahda Ennahda 10114 RABAT,-6.818000000000000,33.976999999999997,43,2002,Rabat,669920
925,154,10800,RABAT CITE YOUSSOUFIA,EL YOUSSOUFIA,RABAT,RABAT,Avenue Fetouaka Marché Youssoufia 10116 RABAT,-6.815000000000000,33.997000000000000,43,2002,Rabat,669920
926,182,1060,RABAT BAB EL ALOU,HASSAN,RABAT,RABAT,Avenue Laalou Laalou 10024 RABAT,-6.842000000000000,34.027000000000001,43,2002,Rabat,669920
927,186,10220,RABAT EL MENZEH,YACOUB EL MANSOUR,RABAT,RABAT,Avenue Menzeh 1183 cité yakoub al mansour 10062 RABAT,-6.896000000000000,33.972000000000001,43,2002,Rabat,669920
928,189,1077,RABAT MUSEE DES PTT,HASSAN,RABAT,RABAT,Avenue Mohamed V  Musee PTT Q.HASSAN 10042 RABAT,-6.828000000000000,34.017000000000003,43,2002,Rabat,669920
929,208,1061,RABAT MADINA,HASSAN,RABAT,RABAT,Avenue Moulay Ismail  Hassan 10036 RABAT,-6.835000000000000,34.030999999999999,43,2002,Rabat,669920
930,214,9500,RABAT HAY EL KHAIR,YACOUB EL MANSOUR,RABAT,RABAT,Avenue Sidi Mohamed Ben Abdellah CYM 10054 RABAT,-6.875000000000000,33.997000000000000,43,2002,Rabat,669920
931,270,6500,RABAT MADINAT AL IRFANE,AGDAL RIYAD,RABAT,RABAT,Bd Mohamed El Jazouli Madinate Al Irfane Madinate Al Irfane 10112 RABAT,-6.866000000000000,33.981000000000002,43,2002,Rabat,669920
932,275,1000,RABAT RP,HASSAN,RABAT,RABAT,Bd Mohamed V Centre de Ville Q. HASSAN 10006 RABAT,-6.837000000000000,34.020000000000003,43,2002,Rabat,669920
933,280,1500,RABAT CHELLAH,HASSAN,RABAT,RABAT,Bd Mohamed V Quartier Résidentiel 10002 RABAT,-6.828000000000000,34.009999999999998,43,2002,Rabat,669920
934,1393,1410,RABAT GARE,HASSAN,RABAT,RABAT,"Gare ONCF, AV Mohammed V, 10063 RABAT",-6.836000000000000,34.015999999999998,43,2002,Rabat,669920
935,1397,12900,RABAT GUICH OUDAYA,AGDAL RIYAD,RABAT,RABAT,N° 895 GUICH OUDAYA RYAD 10023 RABAT,-6.885000000000000,33.939999999999998,43,2002,Rabat,669920
936,1421,10210,RABAT DIOUR JEMAA,HASSAN,RABAT,RABAT,IKAMATE FADEL ALLAH N° 322-342           10056 RABAT,-6.848000000000000,34.014000000000003,43,2002,Rabat,669920
937,1436,6900,RABAT AL-INBIAT,EL YOUSSOUFIA,RABAT,RABAT,Jbel Raissi  Jbel Raissi 10103 RABAT,-6.811000000000000,33.993000000000002,43,2002,Rabat,669920
938,1513,8800,RABAT AL MASSIRA,YACOUB EL MANSOUR,RABAT,RABAT,Place Al Massira CYM Hay Al Massira 10153 RABAT,-6.887000000000000,33.976999999999997,43,2002,Rabat,669920
939,1653,11500,RABAT ANNAKHIL,AGDAL RIYAD,RABAT,RABAT,Rue annakhil hay riad 10113 RABAT,-6.865000000000000,33.954000000000001,43,2002,Rabat,669920
940,1656,8000,RABAT DAR EL HADITH,HASSAN,RABAT,RABAT,Rue Dahomi  en face l'Institut Dar El Hadith El Hassania Diour Jemaa 10003 RABAT,-6.850000000000000,34.015999999999998,43,2002,Rabat,669920
941,1669,1700,RABAT YACOUB EL MANSOUR,YACOUB EL MANSOUR,RABAT,RABAT,Rue El Marah n° 1 CYM  CYM 10053 RABAT,-6.870000000000000,34.000999999999998,43,2002,Rabat,669920
942,1712,8100,RABAT RYAD,AGDAL RIYAD,RABAT,RABAT,Section 3 Bloc P Lot 3 Hay Ryad Ryad 10104 RABAT,-6.860000000000000,33.963000000000001,43,2002,Rabat,669920
943,1740,1600,RABAT MECHOUAR,TOUARGA,RABAT,RABAT,"Touarga, Lfaqua Mechouar Mechouar 10004 RABAT",-6.831000000000000,34.005000000000003,43,2002,Rabat,669920
944,24,8600,SALE KARIA OULAD MOUSSA,HSSAINE,SALE,RABAT, n° 296 Av Mohamed V n° 296 Hay Nahda Kariat oulad moussa 11004 SALE,-6.767000000000000,34.021000000000001,44,2003,Salé,949396
945,35,1062,RABAT AEREPORT,LAYAYDA,SALE,RABAT,Aéroport Rabat Salé Route de Meknès 11025 SALE,-6.761000000000000,34.051000000000002,44,2003,Salé,949396
946,60,6400,SALE HAY ESSALAM,BETTANA,SALE,RABAT,Angle Avenue Atlas El Kébir et rue Bassatine Hay Essalam 11003 SALE,-6.793000000000000,34.040999999999997,44,2003,Salé,949396
947,63,1300,SALE TABRIQUET,TABRIQUET,SALE,RABAT,Angle Avenue Mohamed V et Avenue Lalla Asmae Tabriquet 11015 SALE,-6.807000000000000,34.045000000000002,44,2003,Salé,949396
948,129,13500,SALE HAY KARIMA,TABRIQUET,SALE,RABAT,Av. Med V hay karima 11024 SALE,-6.795000000000000,34.054000000000002,44,2003,Salé,949396
949,135,1100,SALE MEDINA,BAB LAMRISSA,SALE,RABAT,Avenue 2 Mars place Bab Fès Bab Lakhmiss 11005 SALE,-6.819000000000000,34.036999999999999,44,2003,Salé,949396
950,183,8500,SALE BETTANA,BETTANA,SALE,RABAT,Avenue Massira Al Khadra Bettana 11002 SALE,-6.809000000000000,34.030000000000001,44,2003,Salé,949396
951,218,9700,SALE BAB CHAAFA,BAB LAMRISSA,SALE,RABAT,"Bab Chaafa, ancienne médina Salé 11014 SALE",-6.827000000000000,34.042000000000002,44,2003,Salé,949396
952,263,9600,SALE LAYAYDA,LAYAYDA,SALE,RABAT,Bd Ibn Haitem Quartier Oued Eddahab 11016 SALE,-6.770000000000000,34.064000000000000,44,2003,Salé,949396
953,332,9400,SALA AL JADIDA,HSSAINE,SALE,RABAT,"Boulevard Mohamed V, Quartier Industriel Sala Al Jadida 11102 SALE",-6.744000000000000,33.999000000000002,44,2003,Salé,949396
954,334,13400,SALE HSSAINE,HSSAINE,SALE,RABAT,Boulevard Moulay Rachid Kariat Oulad Moussa 11012 SALE,-6.763000000000000,34.018000000000001,44,2003,Salé,949396
955,1010,38332,MOULAY DRISS ARHBAL,MOULAY DRISS AGHBAL,KHEMISSET,RABAT,commune MOULAY DRISS AGHBAL  15072 KHEMISSET,-6.496000000000000,33.792000000000002,44,2003,Salé,949396
956,1161,1330,ARBAA SHOUL,SHOUL,SALE,RABAT,commune SHOUL  11022 SALE,-6.579000000000000,33.966000000000001,44,2003,Salé,949396
957,1162,1332,EL ARJATE,SHOUL,SALE,RABAT,commune SHOUL  11023 SALE,-6.659000000000000,34.018999999999998,44,2003,Salé,949396
958,1587,17810,RABAT TECHNOPOLIS,HSSAINE,SALE,RABAT,"Rabat Technopolis, 11103 Rabat",-6.724000000000000,33.985999999999997,44,2003,Salé,949396
959,1599,17800,SALE HAY EL AMAL,BAB LAMRISSA,SALE,RABAT,ROUTE DE KENITRA                         11036 KENITRA,-6.793000000000000,34.069000000000003,44,2003,Salé,949396
960,1600,8300,SALE SIDI MOUSSA,BAB LAMRISSA,SALE,RABAT,Route de kénitra Bd Prince Sidi Mohamed Sidi Moussa 11006 SALE,-6.809000000000000,34.054000000000002,44,2003,Salé,949396
961,1601,6700,BOUKNADEL,SIDI BOUKNADEL,SALE,RABAT,Route de Kenitra N° 2 Bouknadel   11052 SALE,-6.723000000000000,34.091000000000001,44,2003,Salé,949396
962,1710,1368,SALE MOULAY ISMAIL,BETTANA,SALE,RABAT,Secteur 11 bloc 12 n° 1664  Hay My Ismail 11034 SALE,-6.781000000000000,34.030000000000001,44,2003,Salé,949396
963,1711,1360,SALE EL MOHAMMADI,BETTANA,SALE,RABAT,Secteur 11 bloc 12 n° 1664  Hay Salam 11000 SALE,-6.784000000000000,34.046999999999997,44,2003,Salé,949396
964,81,1200,TEMARA PPAL,TEMARA,SKHIRATE-TEMARA,RABAT,Angle Hassan II et Av Prince HERitier Sidi Mohamed 12003 TEMARA,-6.917000000000000,33.927000000000000,45,2004,Skhirate-Témara,527099
965,250,6600,SKHIRATE,SKHIRATE,SKHIRATE-TEMARA,RABAT,Bd Hassan II 12052 SKHIRATE,-7.068000000000000,33.859000000000002,45,2004,Skhirate-Témara,527099
966,312,1232,EL HARHOURA,HARHOURA,SKHIRATE-TEMARA,RABAT,Bloc 37 Témara Plage Harhoua 12014 HARHOURA,-6.959000000000000,33.926000000000002,45,2004,Skhirate-Témara,527099
967,344,6300,AIN EL OUDA,AIN EL AOUDA,SKHIRATE-TEMARA,RABAT,Centre Ain Aouda 12102 AIN EL AOUDA,-6.787000000000000,33.802999999999997,45,2004,Skhirate-Témara,527099
968,805,6331,BASSATINE AL MENZEH,EL MENZEH,SKHIRATE-TEMARA,RABAT,commune EL MENZEH  12123 SKHIRATE-TEMARA,-6.853000000000000,33.863000000000000,45,2004,Skhirate-Témara,527099
969,983,1233,MERS EL KHEIR,MERS EL KHEIR,SKHIRATE-TEMARA,RABAT,commune MERS EL KHEIR  12025 SKHIRATE-TEMARA,-6.907000000000000,33.895000000000003,45,2004,Skhirate-Témara,527099
970,1121,6330,OUMAZZA,OUMAZZA,SKHIRATE-TEMARA,RABAT,commune OUMAZZA  12122 SKHIRATE-TEMARA,-6.778000000000000,33.878999999999998,45,2004,Skhirate-Témara,527099
971,1149,6630,SEBBAH,SABBAH,SKHIRATE-TEMARA,RABAT,commune SABBAH  12072 SKHIRATE-TEMARA,-7.044000000000000,33.810000000000002,45,2004,Skhirate-Témara,527099
972,1305,1230,TEMARA PLAGE,TEMARA,SKHIRATE-TEMARA,RABAT,commune TEMARA  12024,-6.936000000000000,33.927000000000000,45,2004,Skhirate-Témara,527099
973,1404,13200,TEMARA HAY MAGHRIB AL ARABI,TEMARA,SKHIRATE-TEMARA,RABAT,N° 7 Omar Ben Khattab Secteur 4 Hay Al Massira II 12006 TEMARA,-6.890000000000000,33.920000000000002,45,2004,Skhirate-Témara,527099
974,1408,9000,TEMARA MASSIRA,TEMARA,SKHIRATE-TEMARA,RABAT,Hay El Firdaous Massira I 12002 TEMARA,-6.898000000000000,33.927000000000000,45,2004,Skhirate-Témara,527099
975,1412,1263,TEMARA FATH EL KHEIR,TEMARA,SKHIRATE-TEMARA,RABAT, N°146 Bd. My Al Hassan I Hay El Abbadi Brika 12000 TEMARA,-6.920000000000000,33.905999999999999,45,2004,Skhirate-Témara,527099
976,1430,1210,TEMARA FAOUARATE,TEMARA,SKHIRATE-TEMARA,RABAT,"Immeuble N° 211 , Lot , Renaissance (213) Al Mansour Adahbi 12016 TEMARA",-6.923000000000000,33.902000000000001,45,2004,Skhirate-Témara,527099
977,1468,1220,TEMARA AL WIFAK,TEMARA,SKHIRATE-TEMARA,RABAT,"Magasin, Immeuble N°1179 WIFAK 12022 TEMARA",-6.935000000000000,33.918999999999997,45,2004,Skhirate-Témara,527099
978,1481,13300,TEMARA MOULAY ALI CHERIF,TEMARA,SKHIRATE-TEMARA,RABAT,N 64 Avenue Moulay Ali Cherif 12004 TEMARA,-6.906000000000000,33.933000000000000,45,2004,Skhirate-Témara,527099
979,1722,1265,AIN ATTIG,AIN ATTIG,SKHIRATE-TEMARA,RABAT,Souk ain attig centre  12013 SKHIRATE-TEMARA,-6.950000000000000,33.899000000000001,45,2004,Skhirate-Témara,527099
980,54,61066,AGADIR PORT,AGADIR,AGADIR IDA OU TANAN,AGADIR,Ancien Port 80032 Agadir,-9.629000000000000,30.423999999999999,46,2101,Agadir-Ida ou Tanane,610326
981,59,59100,AGADIR EL KHIAM,AGADIR,AGADIR IDA OU TANAN,AGADIR,Angle Avenue Al Mouqaouama et Rue 381 EL Khiam 80016 AGADIR,-9.572400000000000,30.422000000000001,46,2101,Agadir-Ida ou Tanane,610326
982,114,59600,AGADIR HAY DAKHLA,AGADIR,AGADIR IDA OU TANAN,AGADIR,AV Khalid Ibn Oualid Cité Dakhla 80006 Agadir,-9.556600000000000,30.411000000000001,46,2101,Agadir-Ida ou Tanane,610326
983,137,60900,AGADIR TALBORJT,AGADIR,AGADIR IDA OU TANAN,AGADIR,Avenue 29 Février Talborjt 80005 Agadir,-9.590999999999999,30.422999999999998,46,2101,Agadir-Ida ou Tanane,610326
984,156,58700,AGADIR AL FIDDIA,AGADIR,AGADIR IDA OU TANAN,AGADIR,11 AVENUE HASSAN I AL FIDDIA 80035 AGADIR,-9.555400000000001,30.407900000000001,46,2101,Agadir-Ida ou Tanane,610326
985,315,61062,AGADIR CITE SIDI MOHAMED,AGADIR,AGADIR IDA OU TANAN,AGADIR,Bloc n° 6 Cité sidi Mohamed 80025 Agadir,-9.583500000000001,30.425000000000001,46,2101,Agadir-Ida ou Tanane,610326
986,320,61063,AGADIR CITE BALNEAIRE,AGADIR,AGADIR IDA OU TANAN,AGADIR,Boulevard 20 Aout  Cité balnéaire 80024 Agadir,-9.602000000000000,30.411999999999999,46,2101,Agadir-Ida ou Tanane,610326
987,333,61000,AGADIR PPAL,AGADIR,AGADIR IDA OU TANAN,AGADIR,Boulevard Moulay Abdellah Ville Nouvelle Agadir 80013 AGADIR,-9.597500000000000,30.420600000000000,46,2101,Agadir-Ida ou Tanane,610326
988,399,60800,TAMRI,TAMRI,AGADIR IDA OU TANAN,AGADIR,Centre de Tamri   80502 AGADIR IDA OU TANAN,-9.820000000000000,30.690000000000001,46,2101,Agadir-Ida ou Tanane,610326
989,670,61630,AKSRI,AQESRI,AGADIR IDA OU TANAN,AGADIR,commune AQESRI  80322 AGADIR IDA OU TANAN,-9.494999999999999,30.614999999999998,46,2101,Agadir-Ida ou Tanane,610326
990,692,61632,AZIAR,AZIAR,AGADIR IDA OU TANAN,AGADIR,commune AZIAR  80325 AGADIR IDA OU TANAN,-9.558000000000000,30.763999999999999,46,2101,Agadir-Ida ou Tanane,610326
991,863,59930,IDMINE,IDMINE,AGADIR IDA OU TANAN,AGADIR,commune IDMINE  80323 AGADIR IDA OU TANAN,-9.355000000000000,30.626000000000001,46,2101,Agadir-Ida ou Tanane,610326
992,880,60830,SEBT ASSAKA,IMSOUANE,AGADIR IDA OU TANAN,AGADIR,commune IMSOUANE  80522 AGADIR IDA OU TANAN,-9.770000000000000,30.809000000000001,46,2101,Agadir-Ida ou Tanane,610326
993,1248,61633,TADRART,TADRART,AGADIR IDA OU TANAN,AGADIR,commune TADRART  80326 AGADIR IDA OU TANAN,-9.455000000000000,30.771000000000001,46,2101,Agadir-Ida ou Tanane,610326
994,1255,61033,TAGHAZOUTE,TAGHAZOUT,AGADIR IDA OU TANAN,AGADIR,commune TAGHAZOUT  80022 AGADIR IDA OU TANAN,-9.699999999999999,30.538000000000000,46,2101,Agadir-Ida ou Tanane,610326
995,1325,61631,TIQQI,TIQQI,AGADIR IDA OU TANAN,AGADIR,commune TIQQI  80324 AGADIR IDA OU TANAN,-9.330000000000000,30.728000000000002,46,2101,Agadir-Ida ou Tanane,610326
996,1403,60400,TIKIOUINE,AGADIR,AGADIR IDA OU TANAN,AGADIR,Hay AL Ighians Tikiouine 80652 AGADIR,-9.503100000000000,30.376899999999999,46,2101,Agadir-Ida ou Tanane,610326
997,1431,61600,IMOUZZER IDA OU TANANE,IMOUZZER,AGADIR IDA OU TANAN,AGADIR,Immouzzer Ida Outanane centre   80303 AGADIR IDA OU TANAN,-9.474000000000000,30.666000000000000,46,2101,Agadir-Ida ou Tanane,610326
998,1449,59200,AGADIR FOUNTY,AGADIR,AGADIR IDA OU TANAN,AGADIR,Lot A1 Founty 80015 AGADIR,-9.590000000000000,30.401800000000001,46,2101,Agadir-Ida ou Tanane,610326
999,1458,59500,BENSERGAO,AGADIR,AGADIR IDA OU TANAN,AGADIR,Lotissement Al Wifak Bensergao 80014 AGADIR,-9.568600000000000,30.393000000000001,46,2101,Agadir-Ida ou Tanane,610326
1000,1493,61010,AGADIR HAY AL WAFA,AGADIR,AGADIR IDA OU TANAN,AGADIR,"n°15, Avenue Abderrahim Bouabid 80036 Agadir",-9.558999999999999,30.420700000000000,46,2101,Agadir-Ida ou Tanane,610326
1001,1538,61067,AGADIR SOUK EL HAD,AGADIR,AGADIR IDA OU TANAN,AGADIR,Porte n° 6 Souk EL Had 80033 Agadir,-9.579400000000000,30.412900000000000,46,2101,Agadir-Ida ou Tanane,610326
1002,1603,59900,AMSKROUD,AMSKROUD,AGADIR IDA OU TANAN,AGADIR,Route de Marrakech  Amskroud Centre  80302 AGADIR IDA OU TANAN,-9.332000000000001,30.524999999999999,46,2101,Agadir-Ida ou Tanane,610326
1003,1616,67300,AOURIR,AOURIR,AGADIR IDA OU TANAN,AGADIR,Route d'EssaouiraCentre d'Aourir 80752 AGADIR IDA OU TANAN,-9.667000000000000,30.501000000000001,46,2101,Agadir-Ida ou Tanane,610326
1004,1643,61068,AGADIR HAY ESSALAM,AGADIR,AGADIR IDA OU TANAN,AGADIR,"Rue 950, n° 44 Bis  hay Essalam 80026 Agadir",-9.546600000000000,30.399999999999999,46,2101,Agadir-Ida ou Tanane,610326
1005,1649,60000,AGADIR ANZA,AGADIR,AGADIR IDA OU TANAN,AGADIR,Rue Al Mina Anza 80002 Agadir,-9.656000000000001,30.444600000000001,46,2101,Agadir-Ida ou Tanane,610326
1006,1662,60100,AGADIR QUARTIER INDUSTRIEL,AGADIR,AGADIR IDA OU TANAN,AGADIR,Rue de Meknès Quartier Industriel 80004 Agadir,-9.589100000000000,30.413900000000002,46,2101,Agadir-Ida ou Tanane,610326
1007,45,60700,AIT AMIRA,AIT AMIRA,CHTOUKA AIT BAHA,AGADIR,Ait Amira Centre 87052 CHTOUKA AIT BAHA,-9.475000000000000,30.161000000000001,47,2102,Chtouka-Aït Baha,351400
1008,310,65700,HAD AIT BELFAA,BELFAA,CHTOUKA AIT BAHA,AGADIR,Belfaa centre 87252 CHTOUKA AIT BAHA,-9.433999999999999,30.058000000000000,47,2102,Chtouka-Aït Baha,351400
1009,395,61400,BIOUGRA,BIOUGRA,CHTOUKA AIT BAHA,AGADIR,Centre de Biougra Douar Lahcen Ouali 87202 BIOUGRA,-9.069000000000001,30.034400000000002,47,2102,Chtouka-Aït Baha,351400
1010,489,59800,TAALAT,AIT BAHA,CHTOUKA AIT BAHA,AGADIR,Centre Taalat AIT BAHHA 87102 AIT BAHA,-9.176200000000000,30.149600000000000,47,2102,Chtouka-Aït Baha,351400
1011,556,61234,KSIBA AHL RMEL,AHL RAMEL,TAROUDANNT,AGADIR,commune AHL RAMEL  83375 TAROUDANNT,-9.196000000000000,30.262000000000000,47,2102,Chtouka-Aït Baha,351400
1012,602,65732,SEBT AIT MILK,AIT MILK,CHTOUKA AIT BAHA,AGADIR,commune AIT MILK 87273 CHTOUKA AIT BAHA,-9.394000000000000,29.949999999999999,47,2102,Chtouka-Aït Baha,351400
1013,605,61336,SIDI BOUAZ,AIT MZAL,CHTOUKA AIT BAHA,AGADIR,commune AIT MZAL 87112 CHTOUKA AIT BAHA,-9.103000000000000,30.053000000000001,47,2102,Chtouka-Aït Baha,351400
1014,606,61335,TIMEZGUIDA OUASRIR,AIT MZAL,CHTOUKA AIT BAHA,AGADIR,commune AIT MZAL 87113 CHTOUKA AIT BAHA,-9.077000000000000,30.035000000000000,47,2102,Chtouka-Aït Baha,351400
1015,609,61340,AIT OUADRIM,AIT OUADRIM,CHTOUKA AIT BAHA,AGADIR,commune AIT OUADRIM 87132 CHTOUKA AIT BAHA,-9.236000000000001,29.981999999999999,47,2102,Chtouka-Aït Baha,351400
1016,610,61339,KHEMIS AIT MOUSSA,AIT OUADRIM,CHTOUKA AIT BAHA,AGADIR,commune AIT OUADRIM 87133 CHTOUKA AIT BAHA,-9.237000000000000,30.030000000000001,47,2102,Chtouka-Aït Baha,351400
1017,667,63930,TLATA OU GUENZ,AOUGUENZ,CHTOUKA AIT BAHA,AGADIR,commune AOUGUENZ 87572 CHTOUKA AIT BAHA,-9.176000000000000,29.823000000000000,47,2102,Chtouka-Aït Baha,351400
1018,860,61531,AGUERD NTEZKE,IDA OUGNIDIF,CHTOUKA AIT BAHA,AGADIR,commune IDA OUGNIDIF 87422 CHTOUKA AIT BAHA,-8.939000000000000,29.859000000000002,47,2102,Chtouka-Aït Baha,351400
1019,861,61530,IMHILEN,IDA OUGNIDIF,CHTOUKA AIT BAHA,AGADIR,commune IDA OUGNIDIF 87423 CHTOUKA AIT BAHA,-9.006000000000000,29.866000000000000,47,2102,Chtouka-Aït Baha,351400
1020,873,61436,IMI MQOURN,IMI MQOURN,CHTOUKA AIT BAHA,AGADIR,commune IMI MQOURN 87222 CHTOUKA AIT BAHA,-9.227000000000000,30.161999999999999,47,2102,Chtouka-Aït Baha,351400
1021,881,65730,INCHADEN,INCHADEN,CHTOUKA AIT BAHA,AGADIR,commune INCHADEN 87272 CHTOUKA AIT BAHA,-9.551000000000000,30.106999999999999,47,2102,Chtouka-Aït Baha,351400
1022,970,65331,MASSA TASSILA,MASSA,CHTOUKA AIT BAHA,AGADIR,commune MASSA 87473 CHTOUKA AIT BAHA,-9.632000000000000,29.974000000000000,47,2102,Chtouka-Aït Baha,351400
